Comment,Designator,Footprint,LCSC
1k,R12,R_0402_1005Metric,C11702
OPA354,U5,SOT-23-5,C13388
220pF NP0,C11,C_0402_1005Metric,C1530
100,"R2,R3,R4,R5",R_0402_1005Metric,C25076
100k,"R11,R6,R7,R8,R9",R_0402_1005Metric,C25741
10k,R1,R_0402_1005Metric,C25744
5.1k,"R_USB1,R_USB2",R_0402_1005Metric,C25905
PRTR5V0U2X,U2,SOT-143,C2827688
500mA,F1,Fuse_0805_2012Metric,C2833485
HRO-TYPE-C-31-M-12,USB1,XUNPU-TYPEC-312DSS-ACP16-Assembly,C2909601
100nf,"C1,C10,C2,C3,C4,C5,C7,C9",C_0402_1005Metric,C307331
10uF,C6,C_0402_1005Metric,C315248
1uF,"C8,C_LDO1,C_LDO2",C_0402_1005Metric,C52923
XC6206PxxxMR,U3,SOT-23,C5446
74HC4051,U4,TSSOP16,C5645
STM32F072CBUx,U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,C92504
