Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nf,C_0402_1005Metric,150.720872,-101.403801,180.0,bottom
C10,100nF,C_0402_1005Metric,141.57125,-109.912072,0.0,bottom
C11,220pF NP0,C_0402_1005Metric,141.021987,-115.462072,180.0,bottom
C2,100nf,C_0402_1005Metric,150.732792,-99.231581,180.0,bottom
C3,100nf,C_0402_1005Metric,142.575,-92.192551,90.0,bottom
C4,100nf,C_0402_1005Metric,150.726844,-100.429031,180.0,bottom
C5,100nf,C_0402_1005Metric,136.045,-99.61875,0.0,bottom
C6,10uF,C_0402_1005Metric,143.66875,-92.193365,90.0,bottom
C7,100nf,C_0402_1005Metric,144.4625,-105.8825,270.0,bottom
C8,1uF,C_0402_1005Metric,143.46875,-105.8825,270.0,bottom
C9,100nF,C_0402_1005Metric,139.30625,-123.825,270.0,bottom
C_LDO1,1uF,C_0402_1005Metric,140.49375,-77.93125,180.0,bottom
C_LDO2,1uF,C_0402_1005Metric,140.49375,-82.69375,180.0,bottom
F1,500mA,Fuse_0805_2012Metric,140.3954,-75.7411,0.0,bottom
R1,10k,R_0402_1005Metric,150.750872,-98.228801,180.0,bottom
R11,100k,R_0402_1005Metric,141.57125,-107.55,0.0,bottom
R12,1k,R_0402_1005Metric,141.57125,-108.74375,180.0,bottom
R2,100,R_0402_1005Metric,129.89125,-100.80625,0.0,bottom
R3,100,R_0402_1005Metric,129.88171,-101.837418,0.0,bottom
R4,100,R_0402_1005Metric,129.89125,-99.80625,0.0,bottom
R5,100,R_0402_1005Metric,129.89125,-98.825,0.0,bottom
R6,100k,R_0402_1005Metric,139.7,-128.5875,270.0,bottom
R7,100k,R_0402_1005Metric,142.875,-128.5875,270.0,bottom
R8,100k,R_0402_1005Metric,141.2875,-128.5875,270.0,bottom
R9,100k,R_0402_1005Metric,144.4625,-128.5875,270.0,bottom
R_USB1,5.1k,R_0402_1005Metric,140.98915,-70.29485,270.0,bottom
R_USB2,5.1k,R_0402_1005Metric,144.16415,-70.29485,270.0,bottom
U1,STM32F072CBUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,142.915704,-99.022551,45.0,bottom
U2,PRTR5V0U2X,SOT-143,142.57665,-73.05985,0.0,bottom
U3,XC6206PxxxMR,SOT-23,140.49375,-80.3125,90.0,bottom
U4,74HC4051,TSSOP16,142.875,-122.2375,180.0,bottom
U5,OPA354,SOT-23-5,141.501987,-112.487072,90.0,bottom
USB1,HRO-TYPE-C-31-M-12,XUNPU-TYPEC-312DSS-ACP16-Assembly,142.08125,-65.092,180.0,bottom
